Batch_ID,Car_ID,Order_ID,Dropoff_Lat,Dropoff_Lon,Time_of_Day,Traffic_Condition,Distance_km,Actual_Delivery_Time_Min,Fuel_Consumed_L,Fuel_Cost_TND
1,Car_1,1-1,36.80460347118558,10.22846837526956,11:06,Moderate Traffic,4.19,10.93,0.42,0.92
1,Car_1,1-2,36.81791619636371,10.222097088602903,9:11,Moderate Traffic,1.59,4.15,0.16,0.35
1,Car_1,1-3,36.79988271940211,10.256978008025339,10:04,Moderate Traffic,3.7,9.65,0.37,0.81
1,Car_1,1-4,36.77998468714711,10.2821460084005,11:52,Moderate Traffic,3.15,8.22,0.32,0.7
1,Car_1,1-5,36.761681954725304,10.29185556729521,11:03,Moderate Traffic,2.21,5.77,0.22,0.48
1,Car_1,1-6,36.783764217603164,10.254524604195959,9:00,Moderate Traffic,4.13,10.77,0.41,0.9
1,Car_1,1-7,36.809860225718474,10.218995468173043,10:08,Moderate Traffic,4.29,11.19,0.43,0.95
1,Car_1,1-8,36.82380264245748,10.253124244463196,11:06,Moderate Traffic,3.41,8.9,0.34,0.75
1,Car_1,1-9,36.854469324812136,10.259309999902765,11:01,Moderate Traffic,3.45,9.0,0.35,0.77
1,Car_1,1-10,36.81156850380534,10.213911696248712,11:48,Moderate Traffic,6.25,13.39,0.62,1.36
1,Car_1,1-11,36.85251406561595,10.240831655658171,9:46,Moderate Traffic,5.14,11.01,0.51,1.12
1,Car_1,1-12,36.86421048240264,10.224855212856216,9:31,Moderate Traffic,1.93,5.03,0.19,0.42
1,Car_1,1-13,36.86971992022133,10.210899274924625,11:09,Moderate Traffic,1.38,3.6,0.14,0.31
1,Car_1,1-14,36.897305638491225,10.24819425097073,10:46,Moderate Traffic,4.52,11.79,0.45,0.99
1,Car_1,1-15,36.89058910878997,10.263737457694678,9:28,Moderate Traffic,1.57,4.1,0.16,0.35
1,Car_1,1-16,36.8759968952009,10.266303923915032,10:55,Moderate Traffic,1.64,4.28,0.16,0.35
1,Car_1,1-17,36.920890378810036,10.267085955193233,9:00,Moderate Traffic,4.99,13.02,0.5,1.1
1,Car_1,1-18,36.88157295355315,10.284646545740326,10:06,Moderate Traffic,4.64,12.1,0.46,1.01
1,Car_1,1-19,36.84059641906429,10.316487857219547,9:31,Moderate Traffic,5.37,11.51,0.54,1.19
1,Car_1,1-20,36.8598956296968,10.272136309479375,9:34,Moderate Traffic,4.49,11.71,0.45,0.99
1,Car_1,1-21,36.86269155539661,10.285924661779767,10:51,Moderate Traffic,1.27,3.31,0.13,0.29
2,Car_1,2-1,36.85452904169129,10.184862947354704,14:51,Moderate Traffic,5.35,11.46,0.53,1.17
2,Car_1,2-2,36.87962822058307,10.229854354488808,13:10,Moderate Traffic,4.88,12.73,0.49,1.08
2,Car_1,2-3,36.88086386900491,10.191966407904273,13:49,Moderate Traffic,3.37,8.79,0.34,0.75
2,Car_1,2-4,36.873815138742636,10.205757614960705,15:29,Moderate Traffic,1.46,3.81,0.15,0.33
2,Car_1,2-5,36.825127390793675,10.248544796292142,14:46,Moderate Traffic,6.62,14.19,0.66,1.45
2,Car_1,2-6,36.83551724999873,10.212496070832266,14:40,Moderate Traffic,3.41,8.9,0.34,0.75
2,Car_1,2-7,36.81967490296318,10.217771302440244,14:14,Moderate Traffic,1.82,4.75,0.18,0.4
2,Car_1,2-8,36.84274834070749,10.17533435285092,14:21,Moderate Traffic,4.57,11.92,0.46,1.01
2,Car_1,2-9,36.87047065672232,10.147457233062864,14:55,Moderate Traffic,3.96,10.33,0.4,0.88
2,Car_1,2-10,36.88928758746693,10.156479635467763,13:31,Moderate Traffic,2.24,5.84,0.22,0.48
2,Car_1,2-11,36.85664095114896,10.192696289385498,16:30,Rush Hour,4.85,14.55,0.69,1.52
3,Car_2,3-1,36.78720210477846,10.176347742287517,11:32,Moderate Traffic,2.19,5.71,0.22,0.48
3,Car_2,3-2,36.79011435399257,10.159903319900463,11:14,Moderate Traffic,1.5,3.91,0.15,0.33
3,Car_2,3-3,36.77295364714025,10.1672306280402,11:24,Moderate Traffic,2.02,5.27,0.2,0.44
3,Car_2,3-4,36.811756446073815,10.214817999433157,11:48,Moderate Traffic,6.05,12.96,0.6,1.32
3,Car_2,3-5,36.81738112837457,10.189720479383034,10:34,Moderate Traffic,2.32,6.05,0.23,0.51
3,Car_2,3-6,36.780071849700555,10.217190522708435,10:41,Moderate Traffic,4.82,12.57,0.48,1.06
3,Car_2,3-7,36.76881579275843,10.220400282263151,9:56,Moderate Traffic,1.28,3.34,0.13,0.29
3,Car_2,3-8,36.80066125256547,10.230810943711646,11:26,Moderate Traffic,3.66,9.55,0.37,0.81
3,Car_2,3-9,36.836945460717494,10.209226768150467,10:03,Moderate Traffic,4.47,11.66,0.45,0.99
3,Car_2,3-10,36.85896678576271,10.191666177831145,9:57,Moderate Traffic,2.9,7.57,0.29,0.64
3,Car_2,3-11,36.8268664367206,10.208566736560513,9:44,Moderate Traffic,3.87,10.1,0.39,0.86
3,Car_2,3-12,36.86997694384628,10.207188856180952,10:23,Moderate Traffic,4.8,12.52,0.48,1.06
3,Car_2,3-13,36.89536693785055,10.189328503141926,9:36,Moderate Traffic,3.24,8.45,0.32,0.7
3,Car_2,3-14,36.856819041496706,10.178773515031272,11:22,Moderate Traffic,4.39,11.45,0.44,0.97
3,Car_2,3-15,36.895646620922285,10.158253701838866,11:47,Moderate Traffic,4.69,12.23,0.47,1.03
3,Car_2,3-16,36.87663340522548,10.109438371504867,9:28,Moderate Traffic,4.83,12.6,0.48,1.06
